上联 下联
五岳云闲山振袂 三江月朗水开颜
好景无边，有许多雉堞参差，螺峰绵亘 层楼更上，直看到芜城月色，瓜步烟痕
玉主临福地，泽屯春意满 皇天佑富民，华夏笑颜开
观如来是空是色 愿大众即心即佛
九酝春、得味留清气 汉献帝、闻香识阿瞒
违背自然，水电大兴埋祸患 不循规律，资源滥用害儿孙
卵翼及儿曹，算来一室生成，黍谷吹凭邹律暖 龙钟怜吾母，数到从前顾养，萱帏泪洒婿乡多
盛会鼓东风，党建喜开新局面 春潮腾热土，民生再写大文章
党政清廉，三水四时盈正气 荷花璀璨，九州八面拂春风
且灭嗔中火 来安顶上禅
刀光剑影，驰骋万水凭君舞 鼓角争鸣，纵横千山恃才立
春秋专责贤流，褒贬不松一字 礼义多兴富足，从违实系寸心
空谷幽兰香万里 实心玉玺囧三关
愁云苦笑人心冷 寒月素妆梦境凉
铁骨 钢肠
又恨春来一岁去 堪怜花落两心伤
迎春笑语飞庭外 贺岁亲情入画中
春鼓频敲鼠嫁女 秧歌竞扭喜盈门
有悔佛前勤献果 务求缘内好结亲
虚竹无心，却怀满腹凌云志 静荷有意，常写一天朱笔情
闲搜好句题红叶 应写黄庭换白鹅
今制服五等为缌，念中表密亲，骨肉相看原一本 古者丧三年不吊，准昔贤创例，齐衰入哭有余哀
国法如规循必治 民心似水逆难行
遍看今日乘轩客 同作金门献赋人
佛像本园通，露手眼千般，准提世界 众生何阻滞？见昙花五品，无限祥光
效往贤，墨外亦然存柳骨 礼多士，友群尽得问颜筋
架上麻衣，昨日村郎留下当 酒帘大字，乡中学究醉时书
心静风声细 意浓月色明
月抱溪流怜弱水 云涵岭嶂护高山
依岸寄萍踪，问浪里水车，河中皮筏，可被涛声带走 登山寻胜迹，看云间白塔，峪底灵泉，全凭杰阁收来
闲云不系东西影 红烛偏凝边塞情
玉兔曾拥喜气至 金龙又带春风来
长夜佳人思后羿 中秋美味乐天蓬
金蛇狅舞丰收岁 骏马欢腾快活年
疏影斜分三径月 清箫吹上九重天
留一点闲情度日 带三分醉意读书
老舍巴金骑白马 雏鸡一木是夜郎
古驿千秋鉴雪泥，马蹄留史 蓝陵一梦浓诗意，凤韵寄香
韶州仙茶天井红，味甘余留舌后 百越美景南华寺，梵音回绕芦溪
绿满田畴，指点江山如画 红传家谱，继承事业有人
幼共读，长分飞，而今笨鸟归巢，喜见灵娥登寿域 姐在乡，弟桴海，际此蟠桃结子，定知王母福慈闱
用人不避仇，但知仁士皆崇敬 治国须行俭，自有古贤能效尤
弘扬国粹，社结香江，终生不息 推广谜联，薪传学子，后世同瞻
风云作画何须墨 山水题诗不用笺
白水、沸水、秀水，水水通江达海 安州、绵州、神州，州州圆梦放歌
此岭如常，云横在眼 斯人已杳，文熠于天
桐香沪上，引凤招凰，珠履三千融画里 彩绚天涯，飞红涌翠，风光十亿醉心头
锦书难托山盟在 绣帐不垂春梦消
窗外爆竹声悦耳 杯中美酒话来年
三寸古丁要人陪，仨付估仃 若非秋乍上心头，怎惹悲愁
未必空门能静虑 诚然大隐在凡间
安如太岳，生态氧吧，迎春接福山川绿 泽被晋南，荀卿故里，以政裕民日月新
远走高飞寻出路 低询近访找入门
春风化雨花千树 政策归心福万家
河山万里丹青卷 春暖人间妙手回
金蛇狂舞年头好 骏马奔腾岁兆丰
曾经喘月追风，千载雄姿依旧 尚可逐波遏浪，万钧铁骨岿然
纵使归山犹忆鬼 奈何晓梦自伤神
社会和谐兴百业 文章杰出誉千秋
祖国江山好 家乡气象新
晨对朝阳振 夜吟觉月寒
青云游碧水 白马啸西风
明月当头，蓬岛仙来寻一醉 春风扫榻，酒庄客去梦千回
桂苑秋宵，明月三杯邀曲客 松亭夏日，熏风一缕奏桐君
往事如烟，苦辣酸甜成记忆 人生若梦，贤愚贫富总是空
千秋国教昌忠义 万代家师育圣贤
满腹经纶匡社稷 万千气象步和谐
梦想大洪都，红联红遍红歌会 情倾新圣地，盛事盛行盛世春
晨雾未开松柏隐 轻舟已发浪涛欢
清樽倾竹叶 绿茗代榴花
白山聚玉，地灵人杰名中外 浑水流金，物阜民康贯古今
错落人家，炊烟袅袅，醉魄青山风作酒 汪洋林海，木叶森森，醒神绿水露为茶
当局曾经难落子 出山已是过来人
把价值箴言，书成福字 将丰收笑脸，绘就春天
探海 航空
夜月乡愁动 秋风思绪融
乐在其中，小泉下野流行曲 忧怀往日，神社游魂狂热风
一石凡间，通灵宝玉反封建 裙钗队里，警幻仙姑许意淫
湖山数峰碧 花柳九州春
弹琴又为相思梦 提笔曾抒眷恋怀
铁窗内外两重天，贪今天，舍明天，万般悔恨千行泪 政绩考核双面镜，望远镜，显微镜，百姓欢呼九域昌
花间香入袖 苗圃秀皈衣
放飞新希望 珍惜好年华
四季花诗梅压卷 三更月色客吟词
水墨丹青春纵笔 凡间冷暖雪知心
故里高勋左与胡，中兴数名臣，非同气连枝者比 饰终旷典兄及弟，一门两太傅，实千古独见之奇
桂花娇小吟居士 榄木清高仰谏公
云中剪影依稀月 帘外萧声绰约秋
羊角挂联，联红云梦，梦醉心头，富思特展和谐画 马蹄敲鼓，鼓振雄风，风扬骏采，产业群吟锦绣诗
中午参加集会 傍黑讨论分红
频道 薄言
踵邺侯六井，凿金牛湖畔三池，利泽绵延百世祀 傍坡老古庵，筑碧霞亭前新舍，神灵飘忽一来游
敢挥巨斧辟新区，蓝思企业，绿韵家园，引凤种梧桐，宏图似锦 喜遇良机开化境，黄帝医经，丹方生物，莳花栽芍药，妙手成春
一梦萦怀秋不尽 零星配额月初空
上下五千年，巍巍帝陵，钟灵毓秀 纵横九万里，赫赫始祖，泽被瀛寰
儿时垂钓趴溪畔 今日慕鱼跑市场
权力重如山，诱惑当前而滥用，谁人缩手 贫身清似玉，法规至上且公持，笼子囚心
龙吟幽谷，飞珠溅玉溪声远 虎啸石门，明月松涛鹤影浮
浓比堆云，洁疑叠雪 暖增挟纩，寒解衣芦
书传无逸，诗授豳风，令子服先畴，桑麻倡导遍涟水 世叹横流，人亡耆宿，一乡怀旧德，云路苍茫渺典型
目极云峦自高峻 步登城阙聊回翔
皓月一轮，春灯万盏，灯月交辉辉盛世 长天千里，花海百城，海天起舞舞嘉年
祭祖扫坟尊祖训 呼儿唤女示儿行
翠鸟隔窗催晓色 青山对坐送流光
秋云变幻心情闷 大气磅礴世界观
报导中外事 议论是非情
凯歌辞旧岁 骏马迎新春
剑气冲霄光璀璨 锋芒映日色斑斓
向茂树堪休，清泉可濯，谷中别有闲天地 正幽香潜度，淡云低护，前村昨夜放梅花
逢千载良机，四城合力宏图展 是万民福祉，三省同心大梦圆
天南海北心心印 蝶暮蜂朝蜜蜜甜
千年显赫埋空冢 一世英名照汗青
总因金鼓唤高眠，再琢磨去岁刀枪，依然利否 偏有风花牵旧梦，又锤炼此心文字，不亦快哉
奔西蜀 闯东吴
寒夜常斟无趣酒 痴心妄想有情人
高高兴兴作对 磨磨蹭蹭回帖
村居多逸趣 沙漠少衰人
蕴物藏珍，通今博古延文脉 聚奇鉴史，溯远追先励后人
厨添调口，难调众口调我口 道拿拂尘，不拂凡尘拂心尘
无情花月老 执卷竹梅香
一曲高歌夕阳下--曹 两人屹立冻土中--坐
春风浩荡千山秀 诗意昂然万户欢
万里长城堆血肉 一般散户套资金
三千顷丹果流霞，风靡宇内 四百里翠林奇石，水养崂东
碎玉摇珠凝冷露 熔金落日醉春江
曾将一诺许山岳 换得千金买菊花
联欢万众，花香鸟语迎春早 发达千秋，园美灯明贺岁忙
登楼忆史，赏赋摹书，典实永铭苏太守 仰塔思彭，驰龙驭马，沧桑深探故黄河
蛇舞迎春，吐瑞纳祥昭盛世 龙腾辞岁，招财进宝贺新年
驼铃摇落日 鹿角展雄风
文君绿绮双双醉 贾府红楼个个痴
白天红日亮 黑夜电灯明
五谷丰登春意满 千家兴旺富源长
苦口婆心，床畔念新闻故事 深情厚意，厨中烹美食佳肴
文承千古秀 戏演万人迷
清廉从政前程远 科技兴邦福运长
荣誉诗仙长羡李 坚称书圣共尊王
中兴大业百年梦 民富小康万代求
西风一笔勾别恨 新月半弯念故人
小种岩崖，风采茶旗云谷气 正山岚雾，天和叶韵雨灵心
本日果然降日本 皇天竟不佑天皇
月明悬翠柳 鱼乐戏情波
隔岸花香勾酒瘾 楼台玉笛惹乡思
日映黄沙金褐土 春凝碧草翠青山
岭上雪花飞，昨日梅香曾记否 洲头霞色满，此间橘梦可酣然
王子身边，无有一点不似玉 黾翁头上，再加半夕即成亀
白云合涧松苍老 红日升空万物新
九仞何妨争一篑 三江不吝弃千瓢
箫声带我临君梦 月色因谁照客秋
愿子长努力 规我无隐情
十亿人千秋业大 九州地八面春新
泪湿秋千思蜜枣 喉干夜半梦酸梅
彩屏悬玉带，风雨飘飞石生浪 绝壁走灵猿，泉瀑宛转潭响音
友朋襄庆贺，怀抱三台，背拥五峰，犹胜大亨芒那节 歌舞乐升平，诗呈六艺，联辉八秩，弘扬厚德育人风
书出高山流水 调追白雪阳春
清风捲起一帘月 淡墨研开满卷香
合道同心，携手比肩，四届艺文荣赤子 水明庙秀，地灵人杰，千秋佛祖佑苍生
是当代愚公，战地斗天，白头染就满川绿 留子孙基业，拓荒植树，功绩永铭八步沙
龙兴华夏 兔跃阳春
喜潭飞龙马，闯创引联，绘就泸州新画卷 得水汇江沱，煮蒸馏兑，酿成酒业大文章
志士喜闻鸡，内外兼修，有益晨中腾锐气 时贤争跃马，暑寒不辍，无极路上举先鞭
银汉锁双星，想当年偶涉红尘，讵料铸成大错 碧枝连一脉，看此际并开春蕾，谁说不是奇缘
临水榭、铺冰箪，谁来夜海乘凉坐 摇云扇、荡月船，我欲星河避暑游
碧霞仰慕温家宝 启月光临傅抱石
大陆多勇士 王八少愚人
老者携小孙，瞻前顾后瞧左右 旧街开新店，坐北朝南卖东西
金龙献瑞，三姐传情，万家合德九州福 喜鹊呈祥，八方会意，百族同心四海春
红叶飘零，悠悠沉醉相思处 寸心缱绻，隐隐萦回互偎时
森林特产，唯独木耳 海市绝活，就是鲜欤
小钓烟溪鸥作友 常居市井竹为邻
熔蜡炬，化蚕丝，一任时空荏苒，百卅遐龄欣大庆 锻浑金，琢璞玉，满园桃李芳菲，万千学子起雄图
梅花美化冬环境 李子丽姿夏令时
云烟已散，空回味 旧事难追，枉凝眉
历史怎容轻毁 警钟更要长鸣
寒蝉泣瘦溪边柳 黄水卷来塬上沙
存在皆合理，何以过街老鼠，人人喊打 自然总公平，岂因流水高山，处处徇私
鹄翅展龙门，白云以上 风流分砥柱，碧水之间
一曲柔肠千百转 凡胎浊骨几轮回
大唱农歌，瓜果邀春来垄上 风传花信，蝶蜂放舞闹枝头
芳草似袍连径合 白云如雪满溪流
一串枇杷山客采 满湖芦荻艄公分
渭水飞扬中国梦 宝鸡鸣唱小康歌
大雪横天空秀色 孤舟钓月引苍茫
与谁远泛北海道 为君高歌南山台
半壶村酒无由醉 十里乡情倍感醇
雨余山色秀 绿涨水声欢
鸿运当头，遂心欢乐一孩户 春风拂面，如意吉祥二女家
戏语竟成真，何日得见道山记 同游今散尽，无人共话小川町
且买青山且鼾卧 不论盐铁不筹河
脚穿芒鞋，迎宾足下无履 手执椰瓢，劝酒目前不钟
风清日丽春江水 鸟语花香晨露珠
水围岩护，长江万里一阁耸 礁曲龙蟠，蕞地千年三殿存
出关纳税，非常礼尔 拍案惊奇，实在妙哉
且把相思斟月酒 谁将别恨寄云笺
即是前尘应了了 无非旧梦又痴痴
断桥约会，二人天仙配 电话情思，一线两地书
依帘思素韵 对酒醉清香
玉兔报春，春暖人间民安国泰 辛卯瑞岁，岁月有余合家康宁
自视高才频献丑 投机取巧爱吹牛
闲对青山轻得失 时邀野鹤论生平
卿且莫愁，一杯饮尽繁华梦 春虽已老，十指还留婉约香
凡尘事了且高卧 沧海归来任啸吟
邀月听枫，莫言秋寂寞，慢调枫曲禅心透 簪花送雁，应笑我多情，闲数雁声尘梦凉
菊色金黄秋世界 波光晃漾海胸襟
心伤怕看旧时燕 笔瘦莫题塞上秋
三石可成坚壁磊 二金能造出声鍂
银棚织绿千秋景 科技绘图四季春
安得康强保天性 欲将刀笔润王猷
创业展龙图，电缆十强排县首 挥毫飞凤藻，联花一朵绽春光
理顺章程，物充所用昌民业 拓宽渠道，人尽其才振国邦
叹世事无常，繁花失色，艺苑举哀哭斯者 惊将星殒落，锦瑟哑声，联坛扛鼎问何人
拙以补勤，借此名媛雅集，学士风骚，得以智者乐山，仁者乐水 安之若素，对些窗前冷雨，画外玄听，是之浊斯濯足，清斯濯缨
举斧劈开新世界 挥镰割断旧乾坤
国扬特色，万里河山呈异彩 民步小康，千秋岁月启新元
满蒙回朝汉，共聚松原，千秋缘不解 粮鱼肉气油，同盈福地，廿载运常开
一脉胥川生上善 半轮吴月卧中流
水道流金，千里和谐千里梦 江城积翠，一屏幸福一屏春
一梦飘零知己少 十年离乱故人疏
药对十八子 诗联二九天
一条路 双翅飞
满腔气正，百代功夺，风云际会九莲山，拳为名片 三届节临，重霄旗展，德艺同馨千里誉，心递佛缘
兰香熏雅径 竹影扫闲阶
端午儿童连节庆 民间国际共同来
吟联寻雅趣 步韵上新阶
普遣大泽挽沧海 敢教东土换新天
新春新景观，新梦逐新天，新风新韵酬新愿 大治大身手，大年歌大有，大水大山展大猷
低处修时高处到 小乘懈者大乘崩
与君同为国伤心，何期憔悴江潭，楚些翻成悲宋玉 此业不蒙天所福，枉自张皇幽渺，玄经哪更问侯芭
开窗迎旭日 命笔写新春
青山呼我听清曲 明月为谁照落花
姬水一源首宗远 史书百卷两晋详
翁婿下棋让半子 夫妻买菜比三家
偶逢魅影琼林，童话现真容，光赫四方，仙窟竟然封不住 已在地球心脏，暗河如动脉，目迷五色，嘉宾兀自醉忘归
秋风吟古道 冷月罩昏鸦
创新局、展宏图，集思广益 破旧规、搞改革，人尽其才
铁观音，铁罗汉，罗汉观音齐品茗 金石斛，金橘皮，橘皮石斛共煎方
天地间大丈夫，大文、大武、大义 古今来奇男子，奇才、奇节、奇忠
杯酒何堪浇块垒 孤芳哪需争春意
蜡烛泪流，肚里缠绵心火发 春蚕丝吐，身边结茧感情凝
冶炼薪传，千载银都昌古县 水山色润，一江丹霞蔚新城
十分得意七分稿 三寸金莲一寸心
纵横交汇满江秀 棋布星罗十景悠
银蛇狂舞庆功去 金马跃腾报喜来
信仰当先，淡饭粗茶皆饱腹 佛缘为重，平心素口自修身
把玩十指练精准 沉醉八音享快娱
飞来九品莲台，是色是空，毫光映射三江秀 踏破几层云雾，无人无我，上界修行一佛高
妙联藏雅趣 雄志壮强国
旨酒时献，清谭闲发 物色相召，江山助人
麻将室 建军节
江上生仙岛 天涯羡绿洲
汉兴厚葬，看白虎青龙，图像天文，礼仪歌舞豪华甚 画引遐思，想祖宗技艺，宛城风物，岁月沧桑感慨多
天外是银河，烟波宛转 此中乃尘世，人情散聚
碧水涟漪浮皓月 轻舟荡漾入青云
明山秀水由春来 绿柳蓝天任鸟飞
疏月横秋，长空雁阵啾心碎 流云拂柳，小径鸢声呓梦频
滴水成冰呵子手 春风化雨暖人心
千丈气豪天也妒 一生诗在事堪传
万方更始歌尧日 四序重新贺大年
权利法案，废英伦君主专制旧政统 独立宣言，开北美合众共和新纪元
年年岁岁有福寿 欢欢喜喜无量光
白马师徒难并驾 黄牛党派也穿帮
卧云绝顶超然境 入耳通灵天籁声
秋日羞红枫叶 春风又绿江南
古树封侯因帝赐 名花倾国为谁栽
大嘴乌鸦罗汉果 小元宝草刺梨花
唯有孝心不可弃 除非信念也能抛
不饮醇醪偏得醉 非关兰麝自生香
三杯通大道 一梦到襄阳
蒸云作酒，煮雪为餐，仙家不过如此 邀月和诗，呼梅伺宴，雅士从来这般
但凡世上为人，任他贫富忠奸，终要来殿前报到 最好阳间积德，若汝坑蒙拐骗，逃不脱死后煎熬
几度桃花开又落 一双燕子去还来
曲岸荷风追月迹 险峰柏干沐日直
山前石 竹下风
桨声灯影六朝水 山色湖光一线天
东风一路运诗笔 冷月三秋入画图
禹山毓秀标洪范 华夏钟灵继墨馨
故事一山，谁能读尽 崇光满目，我自收来
春拂芬芳地 马奔锦绣程
灵魂早已升华，斯去随鹰羽以扶摇，一合天人，无存躯壳 命运何当敬畏？此番舍尘心之挂碍，悲欣交集，生死看轻
春去时，一路飞花雨 脸转处，满坡向日葵
月卧窗边闻酒醉 风歇蕊下看花痴
倦了沧桑檐上草 老兮亘古漠边天
门前问字乌程酒 春暮吟风碧浪湖
白日依山，牧童缓缓吹横笛 清风醉月，仕女幽幽弄洞箫
树影泉声，四面空灵清眼耳 湖光山色，一亭奇秀悦身心
闲依柳岸吟风月 漫钓浮生醉沧桑
三沙设市，中南海倾情南海 诸岛同宗，尧舜天执意舜天
扶贫扶志，热肠古道 帮困帮根，良策新科
二十从军，三十出宰，五十作牧，七十巡方，倦游嵩洛归田去 怡园梦草，陶园栽花，葵园锄莠，宋园种药，小筑楼台近水居
个个夭桃开笑口 人人一首赋丛红
桃花柳絮春开瓮 细雨斜风客到门
析国情，论世情，信心十足红旗灿 顺民意，出新意，瞩目八方特色明
沙地马蹄鳖 雪天牛尾狸
伫垂虹西望，嗟肥水东流，一介布衣，孤飞野鹤留疏影 将忧痛深吟，让贞情虚化，千年经典，独创新词散暗香
档案千秋存国宝 兰台万卷溢文馨
南溟三千，文传蒙叟 庐陵四十，自号醉翁
浪走天涯，何处绿杨堪系马 云游野渡，他乡明月可留人
常凭早月来张烛 因访闲人得看棋
燕剪裁霞，精妆福地 兔毫蘸日，大写春天
数落风花愁断句 张扬云雨怕行文
夜雨三更留客住 春宵一度被她阉
初春脚步惹心动 细雨情丝润物轻
横流物欲何从挽 长拭尘心不可轻
问名已是钟情久 仰慕尤惊底蕴深
处事和为贵，吉祥如意 待人礼当先，福寿延绵
稳重 轻狂
时令中人鹦鹉疟 班行笑汝鹭莺群
绣衣著尽黄金缕 银汉斜临白玉堂
嘉年集弦友，乐奏钧天，盛会欣逢明月夜 锦曲谱南音，歌传海表，倚声应有故园情
三水漾春流，绿树红楼萦瑞气 九龙环福地，祥云泽雨兆丰年
夕舞银蛇，去腐存真辞旧岁 晨乘骏马，迎春接福度新年
小九九 直钩钩
枣树 晚生
文达淹通，已咏冰兮寒过水 永和博雅，可知青者胜于蓝
百舸争流，扶摇羊角 万山红遍，花果猴头
拈花修正果 破茧出刁虫
该出手处应出手 得转身时便转身
华年幸聚拱星环，曾继红旗猎猎 盛纪欣传擎炬手，更燃烈火熊熊
锦字偷裁，说剑论诗余事 瑶琴幽愤，高山流水知音
春风无价不收费 绿水有缘当念情
客里寒砧敲梦碎 灯前小字写愁多
勉哉吾党二三子 猗欤广厦千万间
二帝三王，尧舜禹汤文武 六官四季，天地春夏秋冬
风和日丽，碧江处处花争笑 水绿山青，新曲声声鸟竞歌
声名即以书传，又因德立 褒赞每如浪涌，更带潮来
山空涧远，听树边蝉声瑟瑟，何寻竹径 谷雅庭幽，看花间蝶影翩翩，此即桃源
国粹从来多韵美 楹联而后更馨徽
春风给力，织锦千万里 骏马奋蹄，造福十亿人
凤舞微湖醉 凰歌矿业兴
此缘难了由它去 他世或能比翼飞
从痴有爱 绝学无忧
鸿雁排空，惹怒群山枫放火 蛟龙戏水，掀翻四海浪冲天
挝鼓唤群山，化雨无私，莫迟疑春天脚步 忘机销万虑，浮生有证，重聆听大地心声
春夏秋冬花怒放 东南西北景繁荣
身居陋室非含辱 膝跪高堂不屈尊
于是治园圃，洁庭宇 若己窥烟液，临沧洲
潮白流诗，空港飞歌，凝心共奏和谐曲 龙蛇走笔，城乡焕彩，展卷同描顺义春
土木建成金圣寺，需防水火 忠仁育就义侠人，当举孝廉
家酝满瓶，好书满架 山花如绣，芳草如茵
庆贺新春，大地何方无美酒 馈酬嘉客，雪山此处有名啤
礼貌文明，发扬团队精神，彰显五环魅力 人和地利，托起中华梦想，平添百倍信心
广辟山川，人文昌始祖 新开宇宙，地利发中华
春和名镇英华艳 日照侨乡林木荣
一别经年风月老 几回魂梦故乡还
方剂知识共荟萃 临床技能展风华
是遗老不是逸民，居东海滨，渴想斯人来日下 为隐士亦为政客，祝南山寿，会看残菊傲霜枝
迎面对东流，浪激法舟，一渡迷津便是岸 江深几勺水，冤平精卫，十年苦海幸回头
墨线轻弹飞落雪 莺喉漫啭送来春
冷雨难堪蝉赌咒 秋风不拒雁成排
溯到源头搜活句 钻开地壳揍阎王
羊沐清泉洗尘去 猴挥金棒伏虎来
结社卅年，携侣飞诗承子寿 踏歌五月，衔杯步韵启龙章
白雪冰凉冰雪白 青苗幼嫩幼苗青
劳动人家春常在 积善门庭福有余
中华姓氏百家，往溯千年同血脉 大地江河九派，经行万里共源头
八方光电布 万面鼓声中
文静心尤淡 聪明梦转清
名臭十里欣掘洞 胆小一生怕过街
花雨散诸天，愿许多无主孤魂，来赏甘露味 兰盆开胜会，可趁此中元令节，听讲上乘经
诗侣书朋共经纬 贤人雅士赋春秋
心怀浩瀚，植根沃土春花艳 艺展精髓，放眼鹏程景色新
节能环保是趋势 降耗增资才志高
白莲台上洒甘露 紫竹林中生惠风
诗贫无力留清客 浪费惊心怪满盈
东风有约，紫燕迎，沿溪最爱桃花水 骚客长吟，高朋和，隔岸犹闻李白诗
群猴祝福祯祥驻 举国迎春锦绣添
奈何桥下无流水 惊讶塔边有降云
避世用世，出兹天命 是鱼非鱼，入我瞳人
一石精雕新世界 开山大作小风光
回味佳诗堪下酒 品评新作可充饥
时代开屏，万众同讴兴水曲 辉煌在线，千秋永乐上河图
翠樽频举醇香绕 柳月半弯活水凌
梨月一溪犹赛雪 枫阳半岭更如霞
虽然在城市 即此是烟霞
备有川滇云贵菜 款待西北东南宾
碧水一河呈画境 桃花万亩笑春风
各占山头，敢问谁为仁者 齐看水手，始知孰是芵雄
山笼灵光，祥云璀璨碧空缀 门含圣璄，瑞气氤氲福地升
且看男儿方十五 应知世路不寻常
普门大士现身尘刹，遍于潮音垂圣迹 慧锷禅师请像归国，途经紫竹建精蓝
蚕市风光思故国 马行灯火记当年
于潮怒涛狂处，柱越砥吴，法云久护钱王里 坐江光岚影间，濡苍拥翠，秀色平分西子湖
白云既开，远山齐出 清风所至，流水与遭
窗留月色招来影 韵弄乱红慢舞裙
孺子亦知名下士 乐章多取集中诗
兴水利，劝农耕，四方齐赞中都宰 倡礼仪，行教化，千载尚吹平陆风
玄玄妙门启 杳杳渔父吟
凤起龙腾，文光射斗 月明泉澈，山色涵春
秋月平湖，八九游鱼痴叙鸟 春光雅苑，百千飞蝶醉迷花
真假一场戏今古 声色百年赏春秋
一城花雨，钻塔如林拥旭日 满苑谐风，油田似海泛春潮
良操不愧清风阁 雅韵长留云水轩
政清处处齐天乐 民富人人相见欢
党振雄风，宏业千秋开盛纪 邦兴特色，锦程万里著华章
野渡梅子映阶绿，这良辰美景无人赏--空等 烟波柳丝沿岸飘，其秀色佳姿引鱼来--上钩
暗助醉欢寻绿酒 别来终日诵黄庭
天道酬勤，两行流韵联花艳 津门振藻，一报牵情国粹香
莺娇燕懒春光暖 月暗星稀秋景凉
百年筑梦开新局 九域迎春绘锦图
阅尽沧桑峰默立 参来风月水沉吟
指点梅花香在手 目前菊豆火攻心
柳亭莺恰恰 花槛蝶翩翩
天佑古城三界暖 春临玉县万家欢
夜半听松风竹韵 午余试枕味茶香
鸡人报晓传三唱 雁塔撑空映九衢
浩然正气存天地 廉洁清风颂古今
十年随侍，累月服劳，更有遗言入心坎 五宪犹悬，三民未竟，空留主义在人间
红楼近月宜寒水 紫泥飞诏下金銮
八尺龙文，驰驱开道路 三花虎脊，驾驭炼英雄
古道春回，看花驻马 莽原彩绘，赏水聆莺
太白已离去 醉月不思归
轻烟有意缠杨柳 细雨无声宠杏花
富贵秋来，十里桂花香贵客 清廉史誉，千年莲品美廉官
月冷梅花影 酒暖寂寞魂
国有英才缘重教 校多伯乐赖尊师
农家美景春描绘 工厂新风我赞扬
月曲张描骄妇色 秋风吹白少年头
西河郡光绳祖武 临淄堂雅著循声
途平宜纵马，草盛定肥羊梅芳 雪瑞千山秀，物阜年丰百姓欢
一网收心月 三篙入梦溪
永无高贵能长，世事等浮云，到此方为真结局 别谓繁华可久，人生似朝露，从前都是假排场
玉骨冰肌，不受尘埃半点 修身养性，甘为廉政一生
瘦骨轻盈，衣带渐宽终不悔 明眸浅醉，月影初露总是羞
融汇百家完我格 欢呼大圣闹天宫
理通天助力 法顺地生金
闲云野鹤逍遥子 傲骨冰心倜傥生
作镇统元，居五岳之长 资生合撰，妙万物而神
无语对春闲，柳重烟深，雪絮飞来往 人作寻芳去，花开日暖，儿侄竞追随
锐剑生光安世序 锋芒如缕慰民情
茶烟浮旧事 松子落闲情
今菊不效当年隐 朝花文章拾夕名
楼头月色几家共 梦里春光只君同
莫言名利张无忌 独领风骚归有光
笑到几时方合口 生来无日不开怀
剩女身边谈外遇 超男心里忆重逢
仰看慧日丽中天，同开觉路 普渡众生越苦海，共济慈航
生意好似三春雨 财源恰如万顷波
立马横刀，曾教敌寇心惊胆颤 上书谏主，只愿人民食足衣丰
十里黄花，为会战工人炫彩 千年青史，书夺油壮士英名
风物更新，揽万顷波光，四围山色 芳馨播远，有千年桂馥，百代书香
住厕千般苦，奖金十万甜，惊心怵目 正风岁月长，重任征途远，惩腐兴邦
诗书成志业 声价动天门
文坛技巧无恶意 松下手谈有高招
评论文章三世怕 往来书信两心知
满目春光，一览龙城新气象 遍街笑语，好吟佳节快诗章
珍珠港口 戈壁城池
春日才看杨柳绿 秋风又见菊花黄
为单父宰，身不下堂，鸣琴而治 是圣人徒，心如止水，揽月入怀
地美人勤，美酒河边多美酒 山青水绿，青云桥上步青云
学费 试题
得句无关月 登楼且望乡
千山月色清凉夜 万水涛声闪烁星
未必权钱都占理 可教黑白不分明
月照梨花千树雪 风吹柳絮万家棉
客来惟煮茗 独坐但焚香
万山秋叶下 八月湖水平
蝉叫春风老 菊香艳日清
书余小卧梅花案 梦里犹闻篆字香
叶藏智慧，果示圆通，曾帮佛界祖师，秉诚悟道 形本谦恭，性尤慈善，更为晋江英杰，立范修身
一夜微寒催玉瘦 双眉紧蹙锁人愁
风推舟万里 月照草三春
武有担当，数天下风流人物 心生慨叹，抱怀中气派河山
对酒当歌，清风醉月无穷句 人生几何？阳春白雪有韵词
一点相思弹不尽 数年别意话难完
最是人心难测定 胡吹马屁好偷香
春艳神州诗万卷 人逢新岁酒千杯
毛驴倒骑，优哉阁老 梅子青挂，醉论英雄
恭默守诚，陇坻之书山岳志 耕云播雨，亩钟所事庶民心
过玄关，登堂入室 泅海峡，弃暗投明
眼底惊涛千丈雪 笔端傲骨一枝梅
风过南楼，竹画北墙，花飞西径，月上东坡不肯去 香凝紫陌，帆归绿浦，歌漾青溪，云萦白石总相思
月比日明，明日明月中秋月 门须人闪，闪人闪门自动门
圈放鸡羊栅喂鸭，畜禽兴旺 池留鱼虾塘育藕，养殖丰登
难抑万年情，一朝喷涌而来，好向人间彰炽热 每教千里客，数度流连不去，悉听洞口诉沧桑
联网怡情寻妙语 书山益友见知音
闲人只道光阴慢 白首方知脚步沉
鸡啼窗月在 鼠喜囤粮新
白云中外咏 露水古今歌
秋风听雨思春梦 曲水流觞堪赋诗
枝头小月留清照 窗外竹影透孔明
国家变化非常大 内外夹攻多少波
伯仲同婚花献彩 股肱共喜鸟添翎
雁过长空痕不见 花分乱色影无踪
朝歌夜弦日日醉 疏柳繁花阵阵香
源起宗周，姓开杨国，世传大族三千载 时称夫子，学继程门，位列名人第一流
科技铸辉煌，百业俱兴，喜听人民歌大有 和谐呈特色，千帆竞发，欣看党政播仁风
恬淡为怀，南山自乐 屈伸如意，正道沧桑
